epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9053,0,220.113,0,0,0,0,0,0,95.8125,0,0.00025722,0.00025722,0.00025722
2,33.3175,0,199.628,0,0,0,0,0,0,95.8125,0,0.000518261,0.000518261,0.000518261
3,40.3947,0,182.472,0,0,0,0,0,0,87.2422,0,0.00076855,0.00076855,0.00076855
4,48.5887,0,164.015,0,0,0,0,0,0,58.0417,0,0.00100809,0.00100809,0.00100809
5,56.1971,0,146.231,0,0,0,0,0,0,252.737,0,0.00123687,0.00123687,0.00123687
6,63.0903,0,133.091,0,0,0,0,0,0,44.1432,0,0.00128753,0.00128753,0.00128753
7,70.7981,0,119.996,0,0,0,0,0,0,nan,0,0.00125923,0.00125923,0.00125923
8,77.8455,0,107.324,0,0,0,0,0,0,41.9583,0,0.00123094,0.00123094,0.00123094
9,85.4931,0,96.2884,0,0,0,0,0,0,7.43815,0,0.00120265,0.00120265,0.00120265
10,91.8378,0,86.2369,0,0,0,0,0,0,10.7969,0,0.00117435,0.00117435,0.00117435
11,99.713,0,77.0025,0,0,0,0,0,0,nan,0,0.00114606,0.00114606,0.00114606
12,106.399,0,68.7543,0,0,0,0,0,0,1.33268,0,0.00111776,0.00111776,0.00111776
